,singer_name,birth_year,death_year,years_active,other_occupations,instruments_played,personal_life,career
10,Clarence Wijewardena,1943,1996,1965–1996,"Singer-songwriter, guitarist, record producer, music director","
Vocals
Electric guitar
","Clarence Wijewardena was born on 3 August 1943, in Haputale, Sri Lanka, to an estate medical practitioner. His family moved to Batugedara, Ratnapura, and Clarence abandoned a budding career as a planter to pursue music full-time. He completed education from Hatton Highland College and Mahasen College, Yatawatta.He married Sheela Ramadasa and they had one daughter, Amila Priyadarshani. Wijewardena died on 13 December 1996, at the age of 53, in Sri Lanka after a long struggle against ruptured gastric ulcers and gangrene due to acute Diabetes.   ",
11,Cliff Foenander,,,,,,,"Cliff grew up in Colombo, and in the 1950s he started performing in clubs and dances around Ceylon. South Asia's oldest radio station, Radio Ceylon (now the Sri Lanka Broadcasting Corporation) gave Cliff his first exposure inside Ceylon and across South Asia, including India. Broadcasters Vernon Corea, Jimmy Bharucha and Tim Horshington played his songs and interviewed him on their radio shows.Cliff later joined Hong Kong based group 'The Fabulous Echoes.' and they built a fan base in Hong Kong, the Philippines, Malaysia, Singapore, Indonesia and Japan. The Fabulous Echoes gained international exposure playing in Las Vegas in the United States of America, also performing with rat pack members Frank Sinatra, Dean Martin and Sammy Davis Jr, with Ella Fitzgerald and the great 'Satchmo,' Louis Armstrong. The Fabulous Echoes performed on The Ed Sullivan Show after Ed saw them in action in the Thunderbird Lounge. Cliff Foenander continued his music career after The Fabulous Echoes. He settled in Melbourne, Australia. Foenander died in Australia on 21 November 2000.It was during his time in Australia that his voice really matured and he was a regular entertainer at many of entertainment spots in Melbourne and also elsewhere in Australia.  He was the lead singer in a number of prominent Australian bands.  At this time there were also a large number of Sri Lankan migrants in Australia and Cliff being a headliner was always in demand for any of the dinner dances and parties.   "
12,Dasun Madushan,1996,,2013–present,"Singer, musician, presenter",Vocals,"He studied at Prince of Wales' College, Moratuwa. His father, Karunarathne Wickramasinghe, is a retired policeman, and his mother, Rohini Jayalath, is a housewife. He studied G.C.E Advanced Level from Art subjects in school, and he was the stage announcer of Sirasa Superstar season 6 – Hayawana Katahada (6th voice).   Madushan participated in Shihan Mihiranga Bennet's group in the contest. Some songs performed by him, such as : ""Sinhayo"", ""Menik Apsaravi"", ""Pransha Yuwathiyan"", ""As deka Piyaana"" were well received.His first song is the Swapna theme song, which he sang with Sirasa Superstar season 3 winner Shanika Madumali. He later debuted his first solo songs ""Ansathu Wee"" and ""Mage As Walin"".   ",
13,Desmond de Silva,,,,,,He is married to Deanna de Zilwa and the couple has two sons. Elder son Steve de Silva was a dancer and a vocalist. Steve died at a private hospital in Colombo after a brief illness.   ,
14,Dinesh Subasinghe,1979,,1998–present,"Composer, violinist, music arranger, music producer, music director, actor","Violin, Ravanahatha, Guitar, Mandolin, Kingri, Ekthar, Banjo, Erhu","Born in Colombo, Sri Lanka in 1979, Subasinghe studied at St Peter's College, Colombo and Maris Stella College in Negombo. He began playing music at a very young age. He studied music under Samantha Amarajeewa, Janaki Disanayaka, Christal Luduwike, and Patrick Master at his school and in the city. He also studied with well-known professors of Sri Lankan music: B. Victor Perera, Mahinda Senivirathan, Kalani Perera,V.Hemapala Perera and Ananda Perera.In 2001 Subasinghe started learning western classical music under Ashoka Jayawardhana, Hasini Helpe (daughter of Briget and Ashly Helpe) and Annada Dabare. Later they assisted Subasinghe in joining the Sri Lankan Symphony Orchestra.Sri Lankan vocalist Angeline Gunathilaka and journalist Hemanalin Karunarathna (chairman of HTV) introduced him to the Sri Lankan media in 2001 and soon after he became a member of composer Stanley Peiris's orchestra. Subasinghe worked under the Sri Lankan composer Premasiri Khemadasa for eight years and led the orchestra for Khemdasa's opera Agni (2007–2008). From 2001 to 2005 he was a member of Sri Lankan musical groups led by Dumindu Kadigamuwa, Harsha Bulathsinghala, Janananth Warakagoda, and Dilup Gabadamudalige.  He began composing for television and film in 2004 when cinema director Chandrathna Mapitigama selected him to compose music for his television series Hummane. In 2009 he received a scholarship from Sri Lankan President Mahinda Rajapaksa to study music under A. R. Rahman at the KM Music Conservatory in India. At the conservatory, he won the Best Student Award in the instrumental section for violin.   ",
15,Dhanith Sri,1994,,2016-present,Vocalistsongwritercomposer,,"Dhanith Sri was born on 22 December 1994 in Kandy, Sri Lanka. He was educated at Vidyartha College, Kandy and Kingswood College, Kandy. He graduated from University of Peradeniya with a specialised degree in electrical and electronic engineering.   ","Dhanith released singles such as ""Jeewithe"" and ""Obe As"" when he was a teenager and was also a dancer, a talent he showcased in his music videos back in the day. Dhanith has also been featured in other singles such as ""Lakmawuni"", alongside various local artists in a tribute to the victims of the Easter Sunday tragedy and Sebala Puthu with Bathiya and Santhush. And also Dumal Warnakulasuriya. Crew member of Nadagama. Theme song of Dam (දාම්) was sung by Dhanith.   "
16,Dushyanth Weeraman,1980,,2013—present,"Singer, Dancer, Actor",,"Dushyanth is married to Stephanie Siriwardhana, a former Miss Sri Lanka.   ",
17,Eddie Jayamanne,1915,1981,1947-1983,"Actor, comedian",,"He was born on 15 February 1915 in Periyamulla, Negambo to a Christian family as the youngest of the family with seven siblings. His father, W. Don Thomas was a teacher at Maris Stella College. He was educated at the Cross College of Negombo, St. Peter's College, Negombo, St. Mary's College, Negombo and Maris Stella College. His elder brother B. A. W. Jayamanne was a renowned filmmaker and producer.Eddie married fellow Minerva troupe player Rukmani Devi after falling in love through their involvement in the same plays. Devi's parents challenged their engagement in court but they were allowed to go through with their marriage.   ","Eddie with his brother B. A. W. Jayamanne formed the Minerva theater troupe in the 1930s. They successfully ran plays in which naive Ceylonese characters would ape Western ways to comical results merging South Indian theatre with Western drama. Eddie, a frequent star of these comedies, became a popular theater actor in the years leading up to the development of Sri Lankan cinema.In 1947, South Indian producer S. M. Nayagam became interested in producing a Sri Lankan film. He contacted B. A. W. Jayamanne and secured the rights to one of his plays called Kadawunu Poronduwa. Eddie would be one of the stars in this film adaption in the village simpleton role of ""Manappuwa"" alongside Jemini Kantha as Josi Baba. As the first film to feature Sinhalese dialogue, the film found approval with audiences and was a huge success.The Jayamanne brothers followed the success of the film with several other play adaptions i.e. Hadisi Vinishchaya (1949), Sengawunu Pilithura (1951) and Umathu Wishwasaya (1952). Mabel Blythe joined the cast with Hadisi Vinishchaya. In 1953 the brothers adapted a book into film for the first time in Sri Lankan cinema (Kele Handa). Their subsequent films include Iranganie (1954), Matha Bedhaya (1955), Perakadoru Bena (1955), Daiwa Wipaakaya (1956), Vanaliya (1958),  Kawata Andare (1960) and Mangalika (1963).Eddie's work not related to his brother's productions include playing a musician in Sandesaya (1960) and the brother of a village simpleton who discovers a jewel and becomes rich in Kolomba Sanniya (1976). He reprised his role as Manappuwa in a remake of Kadawunu Poronduwa released in 1982.   "
18,Edward Jayakody,1952,,1977–present,"Musician, composer, singer, teacher",Vocals,"Jayakody was born on 6 April 1952 as the youngest child with six siblings of Don Raphial Jayakody and Victoria Jayakody in Hettimulla, Kegalle, Sri Lanka. His mother died on 29 April 2017. Jayakody received his early education at Bandaranaike Junior School, and received his secondary education at St. Mary's College, Kegalle of Kegalle. He joined the church choir while attending Bandaranaike and learned music while at St. Mary's, under teacher H. Samarapala.Jayakody is married to popular songstress Charitha Priyadarshani where the wedding was celebrated on 17 January 1991. The couple has one son, Chandeepa and one daughter, Sharanya Rasodi. Chandeepa got engaged to Deshaki de Silva. To celebrate 25th wedding anniversary, Jayakody and Charitha remarried on same date.   ","During the period from 1968 to 1976, Jayakody participated in the ""Maliban Guwan Thotilla"" and many amateur music programs. He entered the Government College of Music in 1976 (presently the Faculty of Aesthetic Education of Kelaniya University) and during that time took part in music programs conducted by popular musicians. In 1976, he sang on the popular radio program ""Pibidena Gayaka Parapura"" on the radio, and he won second place in the grand finale of the program. He entered singing with the song Karadiya Gambare for a 1977 radio musical program. Its lyrics are by Premakumara Jayawardena and the music was composed by Rohana Weerasinghe.During 1980s, he released two cassettes and a CD, Seethala Pinimatha, Kerakena Rode and Samanalaya Mala Ha Lamaya. He also holds a government position as Educational Assistant Music Director. Jayakody made several children songs such as Kopara Kopara, Katu Akule, Rajjuruwo Udai, Sulangak Vee and Chakgudu Gudu. At the same time, he was appointed as the Music Teacher at Nalanda College, where he worked for a while and then transferred to Gurukula College, Kelaniya. In 1986, Jayakody was promoted to Staff Education Officer in the Music Division and attached to the Ministry of Education. Around the same time, he unveiled his second album Kerakena Rode. He received his Master's degree in 1992 from the Bhatkhande Music Institute Deemed University, Lucknow.Apart from singing, he composed and worked as the music director for more than fifty-two singers. He also composed music for a number of stage plays and teledramas. He has performed as an actor in seventeen stage plays including maiden acting in 1975 stage play Spartacus and then in Kontha Nona, Angara Ganga Galabhasi, Mawatha Api, Sekkuwa, Nari Bena, Gajaman Puwatha, Oedipus and Satara Waram Raja Daruwo. In 2010, Jayakody and Charitha organized a musical tour titled Wasanthaye Aga to Europe from October 16. In 2019, Sabaragamuwa University of Sri Lanka conferred a lifetime achievement award for Jayakody for his contribution to the Sri Lankan music industry.He has contributed playback singing to several films, including Seilama, Gedara Buddha Amma, Mangala Thagga, Himagira, Saroja and Kiri Kawadi. He made maiden cinema appearance in the musical film Guththila with the titular role. Jayakody's album Deduna Palama was released on April 6, 2003.Jayakody has performed his solo musical concert titled Marambari since January 2010. So far, 13 Marambari concerts have been held in Italy alone. The series was a huge success in Canada, London, France, Australia, New Zealand, Dubai and the United States.  In November 2017, Marambari concert was held at Apeksha Hospital, Maharagama. The tenth anniversary of Jayakody's Marambari solo concert was held on the evening of the 31 January 2020 at the Bandaranaike Memorial Conference Hall, Colombo.   "
19,Freddie Silva,1938,2001,1963-2001,"Actor, Playback Singer",,"  Silva was born Haupe Liyanage Athukorala Morris Joseph Ranabahu in Puvakaramba, Moratuwa, and was an only child. Silva's father was an overseer for the Moratuwa Urban Council and his mother was a member of Salvation Army. Growing up he was fascinated with singing and dancing. St. Sebastian's College was his Alma mater.   ",
20,Gresha Schuilling,,,,,,,
21,Gunadasa Kapuge,1945,2003,1963–2003,"Singer, composer, playback singer","Vocals, Tabla, Sitar","Kapuge was born on August 7, 1945 in the tiny village of Thanabaddegama in Elpitiya. His father was Ellalamulla Kapuge Francis and mother was Dona Alice Nona Siribaddana. Being the second of eight siblings, he attended Karandeniya Central College up to grade five and the latter part at Dharmasoka College in Ambalangoda, where he initially studied science before switching to music. His brother, Premawardhana Kapuge is also a singer.He married Prema Withanage in 1978. The couple had one son: Mithra, and two daughters: Ridhma and Sajani. His son Mithra Kapuge, and his brother, Premawardhana Kapuge sing his songs to continue his legacy.   ","In 1963, he left Haywood college of music (presently known as University of the Visual and Performing Arts), where he was studying at that time, to follow a degree course in India. In late 1960, Kapuge joined the Sri Lanka Broadcasting Corporation and in 1969, he worked as an operational assistant and in 1975 started out as a program producer.Kapuge's initial release was titled ""Daesa Nilupul Thema"" in 1973, which he sung for a cultural program was aired on SLBC. It was later became an instant hit and made his mark in the career. After which, Kapuge was quoted as a 'Grade A' vocalist by the Radio Ceylon. Thus the three decade long music career of Visharada Kapuge began. He appeared as a film background singer as well as a music director and stage play music director. The first stage drama for which he provided background music was ""Thuranga Sanniya"" by Sugathapala De Silva. Since then he provided background music for the highly popular musical ""Tharawo Igilethi"" by Lucien Bulathsinhala and several others. His first movie background music gig was for Stanley Perera's ""Sandha.""In 1973 following his marriage, he lost his job due to political revenge. He was invited to an international youth conference in Havana, Cuba, applied for a leave of absence from the Sri Lanka Broadcasting Corporation, but his request was rejected for political reasons. However, Kapuge decided to attend the Youth Conference in Havana on July 22, 1978. On his return to Sri Lanka after attending the summit, the SLBC officials delivered a letter to Kapuge at the Bandaranaike International Airport stating that he has left the service. Although he regained his job in 1979, he was arrested the same year on charges of insulting the then Prime Minister Ranasinghe Premadasa. But Kapuge was able to be released during the investigation into the allegations. He is again expelled from the Sri Lanka Broadcasting Corporation. Although he was re-employed with the intervention of the then Chairman of the SLBC, Eman Kariyakarawana, Kapuge was transferred to the Rajarata Service of the Sri Lanka Broadcasting Corporation. In 1981, Kapuge served as the Head of the Music Division of the Rajarata Service and later as the Head of the Rajarata Service. During the 88/89 riots, he did not change his attitude, where he was sent on compulsory leave from Rajarata Sevaya on January 29, 1990.Meanwhile, in 1980, Kapuge released his first music compact cassette titled ""Dhampatin Laa Sandha"" featuring Malani Bulathsinhala. Kapuge staged a one-man musical show titled ""Kampana"" first staged at Lumbini theatre on August 25, 1990 and also released a cassette and CD with the same title. The show was a historical advent of the Sinhala music industry. In a short span of two years, Kapuge performed nearly a thousand ""Kampana"" shows across the country, and in some cases had to extend the two hour concert to three hours at the request of the audience. He also made popular top selling cassettes such as ""Seethala Sanda Eliye"" (1981), ""Unmada Sithuvam"" (1983), ""Piya Satahan"" (1990), ""Irabatu Tharu"" (1999) and ""Sanda Ra Sihinaye"" (2000). Some of his songs carried meaningful messages to the listeners: specially the song ""Bimbarak Senaga Gevasuna"" talks about the uprising of Uve Wellassa riot against the British. Then his song ""Uthuru Kone Nuba Hinahen"" aimed at bringing harmony between Tamil people living in the North with Sinhalese people living in the South of the island.He sang three songs using the same melody: The first song is ""Sondura Numba Lihiniyaka"" composed by Ratna Sri Wijesinghe. Based on a similar melody, the song ""Sabada Api Kandu Nowemu"" was composed by Dharshana Medis. Meanwhile, the melody of the song composed by the poet Abeysinghe, ""Rathriya Mama Wemi"" is similar to the above melody.As a playback singer, he first involved in the film Ektam Geya for which he sang the song ""Unmadha Situwam"". Then he contributed for the films Bawa Duka and Bawa Karma both directed by Dharmasiri Bandaranayake. He also sang the song ""Kiyanga Magiya"" for Milton Jayawardane’s film Bithu Sithuwam. Meanwhile, he made vocals and provided his first theater background music for Sugathapala de Silva’s play Thuranga Sanniya. Later he involved with many popular stage plays, such as: Paraputuwo, Nandi Visala, Tharavo Igilethi, Sira Kandawuru and Sath Saha Satha.   "
22,Mohammed Gauss,,,,"musician, composer",,,"He came to Sri Lanka to provide music for Nurthi dramas under the invitation of popular Sri Lankan dramatist John de Silva. Gauss Master worked for the Columbia Records Company. Although Gauss was keen to compose Sinhala songs using lyrics to Indian songs, he soon turned to composing solo songs. He did that experiment with the songs he composed for the film Ashokamala. At the moment, Gauss recognized Mohideen Baig and Albert Perera (later became W. D. Amaradeva).Baig and Amaradeva went to India with Gauss Master to record songs. This time Amaradeva is in Gauss Master's band as a musician. But Gauss Master transformed Amaradeva to a singer there. Not only that, Gauss master made Amaradeva as the assistant music director of the Ashokamala, where the role assistant music director was first initiated in the current film catalog. Gauss Master introduces Latha Walpola from the film Eda Ra based on her singing ability. Meanwhile, he composed the song Thirasara Aale Amaraniya We sung by Amaradeva as well as the song Nayana Wani Sudo for Mohideen Baig.   "
23,The Gypsies (Sri Lankan band),,,1970 (1970)-present,,,,
