index,singer_name,birth_year,death_year,carrer_start_year,career_end_year,gender,famous_songs,other_occupations,instruments_played,personal_life,career
10,Clarence Wijewardena,1943,1996,1965,1996,male,"Kavikariye sindu kiyana lande, Aadareta kiyana, Etha epita, Hiruge lowedi, Muhudu rella osse, Sihina lowak","songwriter, guitarist, record producer, music director",electric guitar,"Clarence Wijewardena was born on 3 August 1943, in Haputale, Sri Lanka, to an estate medical practitioner. His family moved to Batugedara, Ratnapura, and Clarence abandoned a budding career as a planter to pursue music full-time. He completed education from Hatton Highland College and Mahasen College, Yatawatta.He married Sheela Ramadasa and they had one daughter, Amila Priyadarshani. Wijewardena died on 13 December 1996, at the age of 53, in Sri Lanka after a long struggle against ruptured gastric ulcers and gangrene due to acute Diabetes.","Considered one of the most respected musicians in Sri Lanka, Wijewardena revolutionized Sri Lankan Sinhala Pop Music with the use of the electric guitar in Sinhala music, in the 1960s. Due to his influence on Sinhala pop music, he is often named as the father of Sri Lankan pop music. Wijewardena formed the Moonstones at the age of 21 with Annesley Malewana as lead vocalist. Managed by an advertising icon, Sri Sangabo Corea, the group recorded several songs, which aired on the Saturday Star program in 1966. Wijewardena departed the Moonstones and formed a new music group called the Golden Chimes, with ex-Moonstones bassist Chanaka Perera and Lankika Perera in January 1971. In 1972, Wijewardena and Gunaratne left the Golden Chimes and they both formed a new band known as Super Golden Chimes also with the support of Annesley in 1973. Wijewardena formed the ""Super Golden Chimes"" back in the company of his lifelong friend Annesley. It was one of the most productive music groups in Sri Lanka and together they hit the number one slot in the Sri Lankan music charts on both the Sinhala and English Services of Radio Ceylon and subsequently the Sri Lanka Broadcasting Corporation."
11,Cliff Foenander,,2000,,,male,,musician,,"Cliff's nephew, Robin Foenander performs in Australia and has released several CDs and a country music song 'Further Down The Road' with the folk music artist Keith Potger, who was a founder member of the Seekers and the New Seekers.","Cliff Foenander was a Sri Lankan musician who performed in South East Asia and Las Vegas. Cliff grew up in Colombo, and in the 1950s he started performing in clubs and dances around Ceylon. South Asia's oldest radio station, Radio Ceylon (now the Sri Lanka Broadcasting Corporation) gave Cliff his first exposure inside Ceylon and across South Asia, including India. Broadcasters Vernon Corea, Jimmy Bharucha and Tim Horshington played his songs and interviewed him on their radio shows. Cliff later joined Hong Kong based group 'The Fabulous Echoes.' and they built a fan base in Hong Kong, the Philippines, Malaysia, Singapore, Indonesia and Japan. The Fabulous Echoes gained international exposure playing in Las Vegas in the United States of America, also performing with rat pack members Frank Sinatra, Dean Martin and Sammy Davis Jr, with Ella Fitzgerald and the great 'Satchmo,' Louis Armstrong. The Fabulous Echoes performed on The Ed Sullivan Show after Ed saw them in action in the Thunderbird Lounge. Cliff Foenander continued his music career after The Fabulous Echoes. He settled in Melbourne, Australia. Foenander died in Australia on 21 November 2000. It was during his time in Australia that his voice really matured and he was a regular entertainer at many of entertainment spots in Melbourne and also elsewhere in Australia.  He was the lead singer in a number of prominent Australian bands.  At this time there were also a large number of Sri Lankan migrants in Australia and Cliff being a headliner was always in demand for any of the dinner dances and parties."
12,Dasun Madushan,1996,,2013,2022,male,"Ansathu wee, Mage as walin, Adare pawasala","musician, presenter",,"He studied at Prince of Wales' College, Moratuwa. His father, Karunarathne Wickramasinghe, is a retired policeman, and his mother, Rohini Jayalath, is a housewife. He studied G.C.E Advanced Level from Art subjects in school, and he was the stage announcer of Sirasa Superstar season 6 - Hayawana Katahada (6th voice).","Madushan participated in Shihan Mihiranga Bennet's group in the contest. Some songs performed by him, such as : ""Sinhayo"", ""Menik Apsaravi"", ""Pransha Yuwathiyan"", ""As deka Piyaana"" were well received. His first song is the Swapna theme song, which he sang with Sirasa Superstar season 3 winner Shanika Madumali. He later debuted his first solo songs ""Ansathu Wee"" and ""Mage As Walin"". He is the winner of the fifth season of Sirasa Superstar."
13,Desmond de Silva,,,,,male,"Polkatu hande, Yaman bando, Hai hui baby achchi, Rajasangabo, Komali pane",entertainer,,He is married to Deanna de Zilwa and the couple has two sons. Elder son Steve de Silva was a dancer and a vocalist. Steve died at a private hospital in Colombo after a brief illness.,"Desmond de Silva is a Sri Lankan singer and entertainer, noted for his youthful voice that has changed little over four decades of performing, and regarded as the ""King of Baila."" Born in Matara in southern Sri Lanka, De Silva has performed to packed concert halls across the world. ""Des,"" as he is known to his fans, launched his career in popular music in Colombo in 1963, he was the lead vocalist of the Fire-Flies. His music was featured widely on Radio Ceylon and subsequently the Sri Lanka Broadcasting Corporation, the oldest radio station in South Asia. Desmond de Silva has represented Sri Lanka at the 5th Olympiad of Songs in Athens, Greece in 1979 and at the Yamaha Festival of Song in Tokyo, Japan."
14,Dinesh Subasinghe,1979,,1998,2022,male,"Rawan nada, Feel my heart, Sihina wasanthayak, Karuna nadee","composer, violinist, music arranger, music producer, music director, actor","violin, ravanahatha, guitar, mandolin, kingri, ekthar, banjo, erhu","Born in Colombo, Sri Lanka in 1979, Subasinghe studied at St Peter's College, Colombo and Maris Stella College in Negombo. He began playing music at a very young age. He studied music under Samantha Amarajeewa, Janaki Disanayaka, Christal Luduwike, and Patrick Master at his school and in the city. He also studied with well-known professors of Sri Lankan music: B. Victor Perera, Mahinda Senivirathan, Kalani Perera,V.Hemapala Perera and Ananda Perera. In 2001 Subasinghe started learning western classical music under Ashoka Jayawardhana, Hasini Helpe (daughter of Briget and Ashly Helpe) and Annada Dabare. Later they assisted Subasinghe in joining the Sri Lankan Symphony Orchestra.Sri Lankan vocalist Angeline Gunathilaka and journalist Hemanalin Karunarathna (chairman of HTV) introduced him to the Sri Lankan media in 2001 and soon after he became a member of composer Stanley Peiris's orchestra. Subasinghe worked under the Sri Lankan composer Premasiri Khemadasa for eight years and led the orchestra for Khemdasa's opera Agni (2007 - 2008). From 2001 to 2005 he was a member of Sri Lankan musical groups led by Dumindu Kadigamuwa, Harsha Bulathsinghala, Janananth Warakagoda, and Dilup Gabadamudalige. He began composing for television and film in 2004 when cinema director Chandrathna Mapitigama selected him to compose music for his television series Hummane. In 2009 he received a scholarship from Sri Lankan President Mahinda Rajapaksa to study music under A. R. Rahman at the KM Music Conservatory in India. At the conservatory, he won the Best Student Award in the instrumental section for violin.   ","Subasinghe has composed a Buddhist oratorio, Karuna Nadee, as well as a symphony, trio, sonata, two a cappella pieces, a string quartet, a concerto for trumpet, and a piece for viola, The Dance of Salome. His string quartet, Night Before The Battle, was selected by Joel Thome's Orchestra of Our Time from 100 compositions from the world. He has composed music for 75 Sri Lankan television series, 13 films, and 16 stage plays and has re-introduced the ancient instrument, the ravanahatha, to Sri Lanka. Subasinghe was the first Sri Lankan to write a cappella pieces with Sri Lankan national themes for SATB choirs, including ""The Princes of the Lost Tribe"" for Menaka De Shabandu's choir and ""Ancient Queen of Somawathee"" for Bridget Helpe's choir. These works were based on historical incidents described in the Mahawansa. The style of these compositions uses harmonies and a sound which is different from Western classical music traditions."
15,Dhanith Sri,1994,,2016,2022,male,"Naukawa, Pandama, Sandaganawa, Gindara, Adariye","songwriter, composer",,"Dhanith Sri was born on 22 December 1994 in Kandy, Sri Lanka. He was educated at Vidyartha College, Kandy and Kingswood College, Kandy. He was graduated from University of Peradeniya with a specialised degree in electrical and electronic engineering.","Dhanith released singles such as ""Jeewithe"" and ""Obe As"" when he was a teenager and was also a dancer, a talent he showcased in his music videos back in the day. Dhanith has also been featured in other singles such as ""Lakmawuni"", alongside various local artists in a tribute to the victims of the Easter Sunday tragedy and Sebala Puthu with Bathiya and Santhush. And also Dumal Warnakulasuriya. Crew member of Nadagama. Theme song of Dam was sung by Dhanith."
16,Dushyanth Weeraman,1980,,2013,2022,male,"Vasana lovak, Dedunna wage, Mathake hasarel","dancer, actor",,"Dushyanth is currently married to Stephanie Siriwardhana, a former Miss Sri Lanka. He is also the younger brother of Santhush Weeraman who is one half of the Sri Lankan pop-duo, Bathiya and Santhush.","Dushyanth Weeraman is a Sri Lankan, singer, dancer and actor who gained attention as the winner of the reality talent show ""Sirasa Dancing Stars"" in 2008. He is a winner of the ""Ten Outstanding Young Persons of Sri Lanka award in 2013."
17,Eddie Jayamanne,1915,1981,1947,1983,male,"Kolompure shriya, Thakkita tharikita udapana natanna hithuna","actor, comedian",,"He was born on 15 February 1915 in Periyamulla, Negambo to a Christian family as the youngest of the family with seven siblings. His father, W. Don Thomas was a teacher at Maris Stella College. He was educated at the Cross College of Negombo, St. Peter's College, Negombo, St. Mary's College, Negombo and Maris Stella College. His elder brother B. A. W. Jayamanne was a renowned filmmaker and producer. Eddie married fellow Minerva troupe player Rukmani Devi after falling in love through their involvement in the same plays. Devi's parents challenged their engagement in court but they were allowed to go through with their marriage.   ","Eddie with his brother B. A. W. Jayamanne formed the Minerva theater troupe in the 1930s. They successfully ran plays in which naive Ceylonese characters would ape Western ways to comical results merging South Indian theatre with Western drama. Eddie, a frequent star of these comedies, became a popular theater actor in the years leading up to the development of Sri Lankan cinema.In 1947, South Indian producer S. M. Nayagam became interested in producing a Sri Lankan film. He contacted B. A. W. Jayamanne and secured the rights to one of his plays called Kadawunu Poronduwa. Eddie would be one of the stars in this film adaption in the village simpleton role of ""Manappuwa"" alongside Jemini Kantha as Josi Baba. As the first film to feature Sinhalese dialogue, the film found approval with audiences and was a huge success. The Jayamanne brothers followed the success of the film with several other play adaptions i.e. Hadisi Vinishchaya (1949), Sengawunu Pilithura (1951) and Umathu Wishwasaya (1952). Mabel Blythe joined the cast with Hadisi Vinishchaya. In 1953 the brothers adapted a book into film for the first time in Sri Lankan cinema (Kele Handa). Their subsequent films include Iranganie (1954), Matha Bedhaya (1955), Perakadoru Bena (1955), Daiwa Wipaakaya (1956), Vanaliya (1958), Kawata Andare (1960) and Mangalika (1963). Eddie's work not related to his brother's productions include playing a musician in Sandesaya (1960) and the brother of a village simpleton who discovers a jewel and becomes rich in Kolomba Sanniya (1976). He reprised his role as Manappuwa in a remake of Kadawunu Poronduwa released in 1982."
18,Edward Jayakody,1952,,1977,2022,male,"Mini mini poda watewi, Me mal yaye, Malathi wasanthe, Nihanda kalpana","musician, composer, teacher",,"Jayakody was born on 6 April 1952 as the youngest child with six siblings of Don Raphial Jayakody and Victoria Jayakody in Hettimulla, Kegalle, Sri Lanka. His mother died on 29 April 2017. Jayakody received his early education at Bandaranaike Junior School, and received his secondary education at St. Mary's College, Kegalle of Kegalle. He joined the church choir while attending Bandaranaike and learned music while at St. Mary's, under teacher H. Samarapala.Jayakody is married to popular songstress Charitha Priyadarshani where the wedding was celebrated on 17 January 1991. The couple has one son, Chandeepa and one daughter, Sharanya Rasodi. Chandeepa got engaged to Deshaki de Silva. To celebrate 25th wedding anniversary, Jayakody and Charitha remarried on same date.","During the period from 1968 to 1976, Jayakody participated in the ""Maliban Guwan Thotilla"" and many amateur music programs. He entered the Government College of Music in 1976 (presently the Faculty of Aesthetic Education of Kelaniya University) and during that time took part in music programs conducted by popular musicians. In 1976, he sang on the popular radio program ""Pibidena Gayaka Parapura"" on the radio, and he won second place in the grand finale of the program. He entered singing with the song Karadiya Gambare for a 1977 radio musical program. Its lyrics are by Premakumara Jayawardena and the music was composed by Rohana Weerasinghe. Jayakody has directed the music for hundreds of Sinhala films and television serials and has also composed many songs for children's programming (""Koppara Koppara""). Jayakody won the Swarna Sanka Award in 1987 for Best Male Singer for the film Gedara Budun Amma. He won Best Music Director in 1979 and 1980 for the plays Nidane and Aparadaya Saha Danduwama."
19,Freddie Silva,1938,2001,1963,2001,male,"Aachchi podi wedawarjanayak, Aaron maama, Ahanna balanna, Andare, Giri Goris","actor, playback singer",,"Silva was born Haupe Liyanage Athukorala Morris Joseph Ranabahu in Puvakaramba, Moratuwa, and was an only child. Silva's father was an overseer for the Moratuwa Urban Council and his mother was a member of Salvation Army. Growing up he was fascinated with singing and dancing. St. Sebastian's College was his Alma mater.   ","In the 1950s Silva performed the Alanson Mendis composition ""Bar Bar Bar"" in front of Sir John Kotelawala and was warmly received. He used this opportunity to get a letter of recommendation from Kotelawala which he presented to Livy Wijemanne of Radio Ceylon to secure a job as a radio artist. Silva's first recording was ""Mottapala."" He followed the song with ""Bar Bar Bar"" now updated with music by P. L. A. Somapala. It was a success. Subsequent efforts teamed Silva with the late Premakirthi de Alwis. Their work include comedic songs like ""Aron Mama"", ""Pankiritta"", ""Nedeyo"", ""Handa Mama"", ""Kekille Rajjuruwo"" and ""Parana Coat"" (from Lokuma Hinawa). Silva's crowning achievement is considered the tune ""Kundumani"". Freddie was known for being one of the most popular Sri Lankan comedians of the 1960s, 1970s and 1980s. He appeared in over 400 films and Produced 2 films, of which 300 were screened at the celebration of fifty years in Sinhala Cinema."
20,Gresha Schuilling,1983,,,,female,Cold Cold Night,musician,,"Gresha Schulling (born 1983, Colombo) is a Sri Lankan musician. She has been hailed as a rising star from the world of popular music in South Asia.She comes from a distinguished musical family from Sri Lanka. Gresha was educated in Jeddah, Saudi Arabia at the Continental School, and in Sri Lanka. She took to music while she was in Saudi Arabia and even won a 'battle of the bands' contest in her school. When she returned to Sri Lanka she decided to follow her in popular music after she completed her GCE Advanced Levels.","Gresha has recorded her debut Christmas single 'Cold Cold Night.' The Christmas song was written by father and son duo, the distinguished Sri Lanka-born singer/songwriter Nimal Mendis and his son Paul Marie Mendis. 'Cold Cold Night' was released by Media Eye Music in the United Kingdom in November 2007. The BBC said Gresha Schuilling was attempting to reach the No.1 spot in the Christmas Charts of 2007. Gresha Schuilling is recording her debut album in Colombo and it was scheduled to be released in the summer of 2008. Media Eye Music in London released her 'Cold Cold Night' Christmas single on download through the mediaeyeproductions website. She has also recorded the Nimal Mendis classic from the iconic Sri Lankan film, 'Ganga Addara.' The original song was recorded by the Sri Lankan film star, the late Vijaya Kumaratunga. 'Ganga Addara' will be released on her debut album."
